"","Freq","Genes"
"TRPC7",13,"TRPC7"
"TRPM3",13,"TRPM3"
"TSHZ2",13,"TSHZ2"
"TTC21B",13,"TTC21B"
"UNC13A",13,"UNC13A"
"WDR17",13,"WDR17"
"ZFC3H1",13,"ZFC3H1"
"ZNF318",13,"ZNF318"
"ZNF716",13,"ZNF716"
"ZNF827",13,"ZNF827"
"ZNF91",13,"ZNF91"
"ABCC12",12,"ABCC12"
"ACSL6",12,"ACSL6"
"ADAMTSL1",12,"ADAMTSL1"
"AGL",12,"AGL"
"AGXT2",12,"AGXT2"
"AHCTF1",12,"AHCTF1"
"ANO3",12,"ANO3"
"ASXL2",12,"ASXL2"
"ATR",12,"ATR"
"AXDND1",12,"AXDND1"
"BCL11B",12,"BCL11B"
"BTAF1",12,"BTAF1"
"C2CD3",12,"C2CD3"
"C2orf78",12,"C2orf78"
"C6",12,"C6"
"C8B",12,"C8B"
"CCNB3",12,"CCNB3"
"CELSR3",12,"CELSR3"
"CHRM3",12,"CHRM3"
"CHRNA4",12,"CHRNA4"
"CLCN1",12,"CLCN1"
"CNBD1",12,"CNBD1"
"CNGB3",12,"CNGB3"
"COL27A1",12,"COL27A1"
"COL4A2",12,"COL4A2"
"COL5A3",12,"COL5A3"
"CPAMD8",12,"CPAMD8"
"CREBBP",12,"CREBBP"
"CSPP1",12,"CSPP1"
"CTTNBP2",12,"CTTNBP2"
"CWH43",12,"CWH43"
"CYP11B2",12,"CYP11B2"
"DACH2",12,"DACH2"
"DCAF12L1",12,"DCAF12L1"
"DCAF12L2",12,"DCAF12L2"
"DCSTAMP",12,"DCSTAMP"
"DNER",12,"DNER"
"DNMT3A",12,"DNMT3A"
"DSC1",12,"DSC1"
"DSCAML1",12,"DSCAML1"
"ENAM",12,"ENAM"
"EP400",12,"EP400"
"EPG5",12,"EPG5"
"F13A1",12,"F13A1"
"FAM171B",12,"FAM171B"
"FLT4",12,"FLT4"
"FRMPD2",12,"FRMPD2"
"FRY",12,"FRY"
"FRYL",12,"FRYL"
"GAB4",12,"GAB4"
"GABRA5",12,"GABRA5"
"GBA3",12,"GBA3"
"GLDC",12,"GLDC"
"GLP2R",12,"GLP2R"
"GPC4",12,"GPC4"
"GPR50",12,"GPR50"
"GPRASP1",12,"GPRASP1"
"GPRASP2",12,"GPRASP2"
"GRIA3",12,"GRIA3"
"GRM6",12,"GRM6"
"GUCY1A3",12,"GUCY1A3"
"HECTD4",12,"HECTD4"
"HIVEP3",12,"HIVEP3"
"IFT172",12,"IFT172"
"IL18RAP",12,"IL18RAP"
"IL7R",12,"IL7R"
"ITPR3",12,"ITPR3"
"KIF1A",12,"KIF1A"
"KIF21A",12,"KIF21A"
"KNDC1",12,"KNDC1"
"LAMA3",12,"LAMA3"
"LATS1",12,"LATS1"
"LILRA2",12,"LILRA2"
"LILRB2",12,"LILRB2"
"LRP12",12,"LRP12"
"LRP4",12,"LRP4"
"LRRK2",12,"LRRK2"
"LY75",12,"LY75"
"MAP3K4",12,"MAP3K4"
"MDC1",12,"MDC1"
"MICAL3",12,"MICAL3"
"MTCL1",12,"MTCL1"
"MTOR",12,"MTOR"
"MYO3B",12,"MYO3B"
"MYO5B",12,"MYO5B"
"MYO7A",12,"MYO7A"
"NCAM1",12,"NCAM1"
"NCOR2",12,"NCOR2"
"NOL4",12,"NOL4"
"NRAP",12,"NRAP"
"NSD1",12,"NSD1"
"NTM",12,"NTM"
"NTRK2",12,"NTRK2"
"NUP205",12,"NUP205"
"OGT",12,"OGT"
"OR10G8",12,"OR10G8"
"OR10Q1",12,"OR10Q1"
"OR2AK2",12,"OR2AK2"
"OR2T33",12,"OR2T33"
"OR4A5",12,"OR4A5"
"OR4K13",12,"OR4K13"
"OR4K17",12,"OR4K17"
"OR4M1",12,"OR4M1"
"OR4N5",12,"OR4N5"
"OR8G5",12,"OR8G5"
"OR8J3",12,"OR8J3"
"OTOA",12,"OTOA"
"P2RY10",12,"P2RY10"
"PCDHA10",12,"PCDHA10"
"PCDHA7",12,"PCDHA7"
"PCDHB4",12,"PCDHB4"
"PCDHGA1",12,"PCDHGA1"
"PDE3A",12,"PDE3A"
"PIK3C2B",12,"PIK3C2B"
"PIK3CG",12,"PIK3CG"
"PLA2G4A",12,"PLA2G4A"
"PLCE1",12,"PLCE1"
"PLG",12,"PLG"
"PMFBP1",12,"PMFBP1"
"POTEE",12,"POTEE"
"POU3F4",12,"POU3F4"
"PRDM2",12,"PRDM2"
"PRRC2C",12,"PRRC2C"
"PTCHD3",12,"PTCHD3"
"PXDN",12,"PXDN"
"RGAG1",12,"RGAG1"
"RIMS1",12,"RIMS1"
"ROS1",12,"ROS1"
"SCN9A",12,"SCN9A"
"SHANK2",12,"SHANK2"
"SLC26A7",12,"SLC26A7"
"SLC27A6",12,"SLC27A6"
"SMC3",12,"SMC3"
"SMG1",12,"SMG1"
"SPAM1",12,"SPAM1"
"SPEN",12,"SPEN"
"SRRM2",12,"SRRM2"
"STARD8",12,"STARD8"
"STK31",12,"STK31"
"SULF2",12,"SULF2"
"SYCP2",12,"SYCP2"
"SYT4",12,"SYT4"
"TAF1",12,"TAF1"
"TBX22",12,"TBX22"
"TEX14",12,"TEX14"
"TGM6",12,"TGM6"
"TNXB",12,"TNXB"
"TOX2",12,"TOX2"
"TRPC6",12,"TRPC6"
"TRPM2",12,"TRPM2"
"UGT2B28",12,"UGT2B28"
"UGT3A1",12,"UGT3A1"
"UMOD",12,"UMOD"
"UNC5C",12,"UNC5C"
"USP26",12,"USP26"
"USP9X",12,"USP9X"
"VPS13B",12,"VPS13B"
"XPNPEP2",12,"XPNPEP2"
"ZC3H13",12,"ZC3H13"
"ZNF236",12,"ZNF236"
"ZNF33A",12,"ZNF33A"
"ZNF761",12,"ZNF761"
"ABCA8",11,"ABCA8"
"ABCC4",11,"ABCC4"
"ABCG5",11,"ABCG5"
"ADAMTS1",11,"ADAMTS1"
"ADAMTS3",11,"ADAMTS3"
"ADGRB1",11,"ADGRB1"
"ADGRE1",11,"ADGRE1"
"AIM1L",11,"AIM1L"
"AMPH",11,"AMPH"
"ANKS1B",11,"ANKS1B"
"ARHGAP35",11,"ARHGAP35"
"ARHGAP5",11,"ARHGAP5"
"ARPP21",11,"ARPP21"
"ASCC3",11,"ASCC3"
"ATP11C",11,"ATP11C"
"ATP1A4",11,"ATP1A4"
"ATP8B4",11,"ATP8B4"
"AUTS2",11,"AUTS2"
"BBX",11,"BBX"
"BCL11A",11,"BCL11A"
"BPTF",11,"BPTF"
"BRCA1",11,"BRCA1"
"BRINP1",11,"BRINP1"
"C2orf16",11,"C2orf16"
"C8A",11,"C8A"
"CACNA1S",11,"CACNA1S"
"CACNA2D3",11,"CACNA2D3"
"CADPS",11,"CADPS"
"CALCRL",11,"CALCRL"
"CASC5",11,"CASC5"
"CCDC141",11,"CCDC141"
"CCDC73",11,"CCDC73"
"CCT8L2",11,"CCT8L2"
"CDH11",11,"CDH11"
"CDH2",11,"CDH2"
"CENPE",11,"CENPE"
"CEP152",11,"CEP152"
"CFHR4",11,"CFHR4"
"CHD4",11,"CHD4"
"COBL",11,"COBL"
"CYLC1",11,"CYLC1"
"DACT1",11,"DACT1"
"DDB1",11,"DDB1"
"DLGAP1",11,"DLGAP1"
"DOT1L",11,"DOT1L"
"DPYS",11,"DPYS"
"DRD2",11,"DRD2"
"EBF3",11,"EBF3"
"EYA4",11,"EYA4"
"FBN1",11,"FBN1"
"FCRL1",11,"FCRL1"
"FGD5",11,"FGD5"
"FLT3",11,"FLT3"
"FN1",11,"FN1"
"FOXP2",11,"FOXP2"
"FSIP2",11,"FSIP2"
"GABRA2",11,"GABRA2"
"GCC2",11,"GCC2"
"GCN1L1",11,"GCN1L1"
"GHR",11,"GHR"
"GPATCH8",11,"GPATCH8"
"GPR139",11,"GPR139"
"GPR141",11,"GPR141"
"GRIA4",11,"GRIA4"
"GRIK4",11,"GRIK4"
"HDX",11,"HDX"
"HEPHL1",11,"HEPHL1"
"HTR1E",11,"HTR1E"
"IARS2",11,"IARS2"
"IGF2R",11,"IGF2R"
"INADL",11,"INADL"
"INHBA",11,"INHBA"
"INSC",11,"INSC"
"IQGAP3",11,"IQGAP3"
"IRS4",11,"IRS4"
"ITGA2",11,"ITGA2"
"ITGAM",11,"ITGAM"
"KANK4",11,"KANK4"
"KCNH3",11,"KCNH3"
"KCNK13",11,"KCNK13"
"KCNK9",11,"KCNK9"
"KLHL38",11,"KLHL38"
"KYNU",11,"KYNU"
"LAMA5",11,"LAMA5"
"LVRN",11,"LVRN"
"MADD",11,"MADD"
"MAGEB10",11,"MAGEB10"
"MAN2A1",11,"MAN2A1"
"MCF2",11,"MCF2"
"MED12L",11,"MED12L"
"MEFV",11,"MEFV"
"MKRN3",11,"MKRN3"
"MROH7",11,"MROH7"
"MTMR8",11,"MTMR8"
"MYH3",11,"MYH3"
"MYOCD",11,"MYOCD"
"MYOM3",11,"MYOM3"
"MYT1",11,"MYT1"
"NCAM2",11,"NCAM2"
"NCAN",11,"NCAN"
"NETO1",11,"NETO1"
"NINL",11,"NINL"
"NLRC5",11,"NLRC5"
"NLRP4",11,"NLRP4"
"NLRP8",11,"NLRP8"
"NOTCH2",11,"NOTCH2"
"NOVA1",11,"NOVA1"
"NOX3",11,"NOX3"
"NPAS4",11,"NPAS4"
"NPR3",11,"NPR3"
"NPY5R",11,"NPY5R"
"NR0B1",11,"NR0B1"
"NRK",11,"NRK"
"OR2A25",11,"OR2A25"
"OR2T2",11,"OR2T2"
"OR51D1",11,"OR51D1"
"OR51G2",11,"OR51G2"
"OR5D14",11,"OR5D14"
"OR5J2",11,"OR5J2"
"PCDH19",11,"PCDH19"
"PCDH20",11,"PCDH20"
"PCDH9",11,"PCDH9"
"PCDHA4",11,"PCDHA4"
"PDE4DIP",11,"PDE4DIP"
"PDGFRB",11,"PDGFRB"
"PDILT",11,"PDILT"
"PGBD1",11,"PGBD1"
"PGM5",11,"PGM5"
"PLCL1",11,"PLCL1"
"PLXNA3",11,"PLXNA3"
"POTEG",11,"POTEG"
"PPARGC1A",11,"PPARGC1A"
"PPFIA2",11,"PPFIA2"
"PPIG",11,"PPIG"
"PRKG1",11,"PRKG1"
"PSKH2",11,"PSKH2"
"PSME4",11,"PSME4"
"PTPRN",11,"PTPRN"
"RABGAP1L",11,"RABGAP1L"
"RBBP6",11,"RBBP6"
"REG1B",11,"REG1B"
"RICTOR",11,"RICTOR"
"RIF1",11,"RIF1"
"RNF213",11,"RNF213"
"RPGRIP1",11,"RPGRIP1"
"SERPINA5",11,"SERPINA5"
"SERPINB4",11,"SERPINB4"
"SGCZ",11,"SGCZ"
"SGOL2",11,"SGOL2"
"SIGLEC1",11,"SIGLEC1"
"SLC12A1",11,"SLC12A1"
"SLC22A16",11,"SLC22A16"
"SLC6A5",11,"SLC6A5"
"SPATA31E1",11,"SPATA31E1"
"SPTBN4",11,"SPTBN4"
"STXBP5L",11,"STXBP5L"
"TBX15",11,"TBX15"
"TBX18",11,"TBX18"
"TBX5",11,"TBX5"
"TGFBR3",11,"TGFBR3"
"TIAM2",11,"TIAM2"
"TKTL2",11,"TKTL2"
"TLL2",11,"TLL2"
"TMEM132B",11,"TMEM132B"
"TMEM2",11,"TMEM2"
"TNC",11,"TNC"
"TRIML2",11,"TRIML2"
"TRPV6",11,"TRPV6"
"TUBA3C",11,"TUBA3C"
"TXLNB",11,"TXLNB"
"UNC45B",11,"UNC45B"
"URB2",11,"URB2"
"UTP20",11,"UTP20"
"UTRN",11,"UTRN"
"VWF",11,"VWF"
"XIRP1",11,"XIRP1"
"ZFHX3",11,"ZFHX3"
"ZFP36L1",11,"ZFP36L1"
"ZNF107",11,"ZNF107"
"ZNF638",11,"ZNF638"
"ZNF800",11,"ZNF800"
"ZNF835",11,"ZNF835"
"ZNF98",11,"ZNF98"
"ZSCAN1",11,"ZSCAN1"
"ABCA5",10,"ABCA5"
"ABCA7",10,"ABCA7"
"ABCC8",10,"ABCC8"
"ABI3BP",10,"ABI3BP"
"ADAM33",10,"ADAM33"
"ADAMTS17",10,"ADAMTS17"
"ADAMTS9",10,"ADAMTS9"
"ADGRA3",10,"ADGRA3"
"ADNP2",10,"ADNP2"
"AKAP1",10,"AKAP1"
"ANKRD44",10,"ANKRD44"
"AOX1",10,"AOX1"
"ARFGEF1",10,"ARFGEF1"
"ARHGAP21",10,"ARHGAP21"
"ARHGAP32",10,"ARHGAP32"
"ARHGAP6",10,"ARHGAP6"
"ARHGEF17",10,"ARHGEF17"
"ARMC5",10,"ARMC5"
"ASAP1",10,"ASAP1"
"ASB5",10,"ASB5"
"ATG2B",10,"ATG2B"
"ATOH1",10,"ATOH1"
"ATP13A5",10,"ATP13A5"
"BAIAP3",10,"BAIAP3"
"BCLAF1",10,"BCLAF1"
"BCOR",10,"BCOR"
"BICC1",10,"BICC1"
"BNC1",10,"BNC1"
"BZRAP1",10,"BZRAP1"
"C1orf94",10,"C1orf94"
"C9",10,"C9"
"CACNA1G",10,"CACNA1G"
"CD109",10,"CD109"
"CDH17",10,"CDH17"
"CDH20",10,"CDH20"
"CDH4",10,"CDH4"
"CHAT",10,"CHAT"
"CILP",10,"CILP"
"CLTCL1",10,"CLTCL1"
"CMKLR1",10,"CMKLR1"
"CNTN6",10,"CNTN6"
"COL11A2",10,"COL11A2"
"COL1A1",10,"COL1A1"
"COL6A2",10,"COL6A2"
"CPA3",10,"CPA3"
"CPZ",10,"CPZ"
"CR2",10,"CR2"
"CRISPLD1",10,"CRISPLD1"
"CT47B1",10,"CT47B1"
"CTCFL",10,"CTCFL"
"CTDP1",10,"CTDP1"
"CYP4F2",10,"CYP4F2"
"DACH1",10,"DACH1"
"DCLK1",10,"DCLK1"
"DDR2",10,"DDR2"
"DHX9",10,"DHX9"
"DLG2",10,"DLG2"
"DOCK9",10,"DOCK9"
"DRP2",10,"DRP2"
"DSC2",10,"DSC2"
"DSG4",10,"DSG4"
"DTNA",10,"DTNA"
"DVL3",10,"DVL3"
"DYTN",10,"DYTN"
"ENOX1",10,"ENOX1"
"ENPP2",10,"ENPP2"
"EPHA4",10,"EPHA4"
"EPPK1",10,"EPPK1"
"EVC2",10,"EVC2"
"EXTL3",10,"EXTL3"
"F13B",10,"F13B"
"FBN3",10,"FBN3"
"FREM1",10,"FREM1"
"GABRA6",10,"GABRA6"
"GAD2",10,"GAD2"
"GJA10",10,"GJA10"
"GNAS",10,"GNAS"
"GOLGA4",10,"GOLGA4"
"GPR101",10,"GPR101"
"GRIK5",10,"GRIK5"
"GRM4",10,"GRM4"
"HAPLN1",10,"HAPLN1"
"HCFC1",10,"HCFC1"
"HEATR1",10,"HEATR1"
"HK3",10,"HK3"
"IGKC",10,"IGKC"
"IGSF22",10,"IGSF22"
"IMPG1",10,"IMPG1"
"INPP4B",10,"INPP4B"
"ITGA1",10,"ITGA1"
"ITGAL",10,"ITGAL"
"ITSN1",10,"ITSN1"
"JAKMIP2",10,"JAKMIP2"
"JARID2",10,"JARID2"
"JMJD1C",10,"JMJD1C"
"KCNH2",10,"KCNH2"
"KCNJ12",10,"KCNJ12"
"KCNJ2",10,"KCNJ2"
"KDM4C",10,"KDM4C"
"KDM5C",10,"KDM5C"
"KL",10,"KL"
"KLHL6",10,"KLHL6"
"KRT82",10,"KRT82"
"LAMB3",10,"LAMB3"
"LARP4B",10,"LARP4B"
"LAX1",10,"LAX1"
"LILRB1",10,"LILRB1"
"LRIT1",10,"LRIT1"
"LRRC4B",10,"LRRC4B"
"LRRTM1",10,"LRRTM1"
"LRRTM3",10,"LRRTM3"
"LZTS1",10,"LZTS1"
"MAGEB1",10,"MAGEB1"
"MAGEB18",10,"MAGEB18"
"MAP3K19",10,"MAP3K19"
"MARCO",10,"MARCO"
"MCF2L2",10,"MCF2L2"
"MED13L",10,"MED13L"
"MS4A14",10,"MS4A14"
"MSH4",10,"MSH4"
"MUC3A",10,"MUC3A"
"MYH9",10,"MYH9"
"MYLK",10,"MYLK"
"NAALADL2",10,"NAALADL2"
"NCKAP5L",10,"NCKAP5L"
"NEDD4",10,"NEDD4"
"NPFFR2",10,"NPFFR2"
"NRG3",10,"NRG3"
"NXF5",10,"NXF5"
"OLFM3",10,"OLFM3"
"OR10AG1",10,"OR10AG1"
"OR10J1",10,"OR10J1"
"OR10K2",10,"OR10K2"
"OR11L1",10,"OR11L1"
"OR13F1",10,"OR13F1"
"OR13G1",10,"OR13G1"
"OR2B11",10,"OR2B11"
"OR2G3",10,"OR2G3"
"OR2T27",10,"OR2T27"
"OR4C13",10,"OR4C13"
"OR51A7",10,"OR51A7"
"OR5A1",10,"OR5A1"
"OR5AR1",10,"OR5AR1"
"OR5B3",10,"OR5B3"
"OR5D18",10,"OR5D18"
"OR6K6",10,"OR6K6"
"OR6N1",10,"OR6N1"
"OR6Y1",10,"OR6Y1"
"OR8H2",10,"OR8H2"
"OR8I2",10,"OR8I2"
"OR8K3",10,"OR8K3"
"OTUD6A",10,"OTUD6A"
"PAK3",10,"PAK3"
"PCDHGB1",10,"PCDHGB1"
"PCDHGB4",10,"PCDHGB4"
"PCNXL2",10,"PCNXL2"
"PCSK5",10,"PCSK5"
"PDE1C",10,"PDE1C"
"PGK2",10,"PGK2"
"PGR",10,"PGR"
"PHF20L1",10,"PHF20L1"
"PIEZO2",10,"PIEZO2"
"PIK3R5",10,"PIK3R5"
"PLEKHG4B",10,"PLEKHG4B"
"PLXNB3",10,"PLXNB3"
"POLA1",10,"POLA1"
"PPP1R21",10,"PPP1R21"
"PRDM14",10,"PRDM14"
"PREX1",10,"PREX1"
"PROX1",10,"PROX1"
"PSG5",10,"PSG5"
"PSG6",10,"PSG6"
"PTPN4",10,"PTPN4"
"RALGAPB",10,"RALGAPB"
"RAPGEF6",10,"RAPGEF6"
"RET",10,"RET"
"RPS6KA6",10,"RPS6KA6"
"SASH1",10,"SASH1"
"SDK2",10,"SDK2"
"SELP",10,"SELP"
"SERPINA3",10,"SERPINA3"
"SERPINA9",10,"SERPINA9"
"SIGLEC10",10,"SIGLEC10"
"SIGLEC12",10,"SIGLEC12"
"SIM1",10,"SIM1"
"SIRPG",10,"SIRPG"
"SLC1A3",10,"SLC1A3"
"SLC22A12",10,"SLC22A12"
"SLC32A1",10,"SLC32A1"
"SLC35F1",10,"SLC35F1"
"SLC45A2",10,"SLC45A2"
"SLC5A1",10,"SLC5A1"
"SLC8A3",10,"SLC8A3"
"SMAD4",10,"SMAD4"
"SMC4",10,"SMC4"
"SNRNP200",10,"SNRNP200"
"SNTG2",10,"SNTG2"
"SP140",10,"SP140"
"SPERT",10,"SPERT"
"SPG11",10,"SPG11"
"SPTAN1",10,"SPTAN1"
"SPTBN1",10,"SPTBN1"
"STAG3",10,"STAG3"
"STARD13",10,"STARD13"
"SUPT6H",10,"SUPT6H"
"SYNJ1",10,"SYNJ1"
"SYT9",10,"SYT9"
"TAAR6",10,"TAAR6"
"TAS1R2",10,"TAS1R2"
"TCERG1L",10,"TCERG1L"
"TET1",10,"TET1"
"TNRC6A",10,"TNRC6A"
"TRIM48",10,"TRIM48"
"TRIP12",10,"TRIP12"
"TTC14",10,"TTC14"
"UBA6",10,"UBA6"
"USP6",10,"USP6"
"VEGFC",10,"VEGFC"
"VN1R2",10,"VN1R2"
"WBSCR17",10,"WBSCR17"
"WDR72",10,"WDR72"
"WWP1",10,"WWP1"
"XPO1",10,"XPO1"
"ZBTB14",10,"ZBTB14"
"ZCCHC11",10,"ZCCHC11"
"ZFP30",10,"ZFP30"
"ZNF496",10,"ZNF496"
"ZNF816",10,"ZNF816"
"ZPLD1",10,"ZPLD1"
"ZSCAN4",10,"ZSCAN4"
"AASS",9,"AASS"
"ABCB4",9,"ABCB4"
"ABCD2",9,"ABCD2"
"ACSM2A",9,"ACSM2A"
"ADCY5",9,"ADCY5"
"ADCYAP1R1",9,"ADCYAP1R1"
"ADGRB2",9,"ADGRB2"
"ADGRF2",9,"ADGRF2"
"ADGRG2",9,"ADGRG2"
"AEBP1",9,"AEBP1"
"AKAP13",9,"AKAP13"
"ALPK1",9,"ALPK1"
"AMY2B",9,"AMY2B"
"ANKHD1-EIF4EBP3",9,"ANKHD1-EIF4EBP3"
"ANO5",9,"ANO5"
"AOC1",9,"AOC1"
"ARFGEF3",9,"ARFGEF3"
"ARHGAP24",9,"ARHGAP24"
"ARHGAP36",9,"ARHGAP36"
"ARHGEF11",9,"ARHGEF11"
"ARHGEF40",9,"ARHGEF40"
"ATF7IP",9,"ATF7IP"
"ATP10A",9,"ATP10A"
"ATP2B2",9,"ATP2B2"
"BACH2",9,"BACH2"
"BCL9L",9,"BCL9L"
"BPIFC",9,"BPIFC"
"BSN",9,"BSN"
"BTRC",9,"BTRC"
"C10orf12",9,"C10orf12"
"C10orf71",9,"C10orf71"
"C10orf90",9,"C10orf90"
"C1orf168",9,"C1orf168"
"CABS1",9,"CABS1"
"CACNA1H",9,"CACNA1H"
"CACNB2",9,"CACNB2"
"CADM3",9,"CADM3"
"CALN1",9,"CALN1"
"CARD6",9,"CARD6"
"CCDC39",9,"CCDC39"
"CCER1",9,"CCER1"
"CD93",9,"CD93"
"CDH13",9,"CDH13"
"CDH19",9,"CDH19"
"CDHR2",9,"CDHR2"
"CDX4",9,"CDX4"
"CELSR1",9,"CELSR1"
"CEP170",9,"CEP170"
"CILP2",9,"CILP2"
"CIT",9,"CIT"
"CLSTN2",9,"CLSTN2"
"CNGA4",9,"CNGA4"
"CNTLN",9,"CNTLN"
"CNTN2",9,"CNTN2"
"COL16A1",9,"COL16A1"
"COL2A1",9,"COL2A1"
"COL4A4",9,"COL4A4"
"CPXCR1",9,"CPXCR1"
"CRNKL1",9,"CRNKL1"
"CTSG",9,"CTSG"
"CUL9",9,"CUL9"
"CYFIP2",9,"CYFIP2"
"DCT",9,"DCT"
"DHX8",9,"DHX8"
"DIAPH3",9,"DIAPH3"
"DIP2B",9,"DIP2B"
"DNAI2",9,"DNAI2"
"DOCK11",9,"DOCK11"
"DROSHA",9,"DROSHA"
"DSC3",9,"DSC3"
"DSEL",9,"DSEL"
"DUSP22",9,"DUSP22"
"E2F7",9,"E2F7"
"EDIL3",9,"EDIL3"
"EDNRB",9,"EDNRB"
"EHD3",9,"EHD3"
"EIF4G1",9,"EIF4G1"
"ENPEP",9,"ENPEP"
"ENPP3",9,"ENPP3"
"ENTHD1",9,"ENTHD1"
"EPB41L2",9,"EPB41L2"
"F9",9,"F9"
"FAM179B",9,"FAM179B"
"FASN",9,"FASN"
"FERD3L",9,"FERD3L"
"FGA",9,"FGA"
"FGB",9,"FGB"
"FLI1",9,"FLI1"
"FRMD7",9,"FRMD7"
"GABRA1",9,"GABRA1"
"GBP4",9,"GBP4"
"GBP5",9,"GBP5"
"GLI1",9,"GLI1"
"GP2",9,"GP2"
"GPC6",9,"GPC6"
"GPR148",9,"GPR148"
"GPR149",9,"GPR149"
"GPR174",9,"GPR174"
"GPRIN3",9,"GPRIN3"
"GRB10",9,"GRB10"
"GRIA2",9,"GRIA2"
"GRIK3",9,"GRIK3"
"GTDC1",9,"GTDC1"
"HDAC4",9,"HDAC4"
"HELZ2",9,"HELZ2"
"HOXB3",9,"HOXB3"
"HRH2",9,"HRH2"
"HS3ST5",9,"HS3ST5"
"HSPA8",9,"HSPA8"
"HSPG2",9,"HSPG2"
"HTATSF1",9,"HTATSF1"
"IFI44L",9,"IFI44L"
"IGDCC4",9,"IGDCC4"
"IGKV1D-17",9,"IGKV1D-17"
"IKZF1",9,"IKZF1"
"IL12RB2",9,"IL12RB2"
"IPO9",9,"IPO9"
"ITGA10",9,"ITGA10"
"ITIH2",9,"ITIH2"
"ITK",9,"ITK"
"JPH1",9,"JPH1"
"KCNA5",9,"KCNA5"
"KCND2",9,"KCND2"
"KCNK18",9,"KCNK18"
"KDM2B",9,"KDM2B"
"KDM6B",9,"KDM6B"
"KIAA1429",9,"KIAA1429"
"KIRREL",9,"KIRREL"
"KIRREL2",9,"KIRREL2"
"KRT1",9,"KRT1"
"KRT74",9,"KRT74"
"L3MBTL1",9,"L3MBTL1"
"LAMC3",9,"LAMC3"
"LARP1",9,"LARP1"
"LINGO2",9,"LINGO2"
"LMX1A",9,"LMX1A"
"LRGUK",9,"LRGUK"
"LRRC16B",9,"LRRC16B"
"LRRK1",9,"LRRK1"
"MAGEB6",9,"MAGEB6"
"MAGI1",9,"MAGI1"
"MCM4",9,"MCM4"
"MDGA1",9,"MDGA1"
"MED1",9,"MED1"
"MEPE",9,"MEPE"
"MICAL2",9,"MICAL2"
"MIOS",9,"MIOS"
"MN1",9,"MN1"
"MPDZ",9,"MPDZ"
"MRC2",9,"MRC2"
"MTNR1A",9,"MTNR1A"
"MTR",9,"MTR"
"MUC6",9,"MUC6"
"MYBPC1",9,"MYBPC1"
"MYBPC3",9,"MYBPC3"
"MYO1H",9,"MYO1H"
"MYRF",9,"MYRF"
"NAP1L3",9,"NAP1L3"
"NEBL",9,"NEBL"
"NEK10",9,"NEK10"
"NFATC2",9,"NFATC2"
"NHS",9,"NHS"
"NIN",9,"NIN"
"NLRP11",9,"NLRP11"
"NLRP9",9,"NLRP9"
"NOTCH1",9,"NOTCH1"
"NPC1L1",9,"NPC1L1"
"NPR1",9,"NPR1"
"NR5A2",9,"NR5A2"
"NUP214",9,"NUP214"
"NUTM1",9,"NUTM1"
"NWD1",9,"NWD1"
"NXF3",9,"NXF3"
"OLFM4",9,"OLFM4"
"OPN5",9,"OPN5"
"OR14C36",9,"OR14C36"
"OR14K1",9,"OR14K1"
"OR1C1",9,"OR1C1"
"OR2J2",9,"OR2J2"
"OR4D5",9,"OR4D5"
"OR4N2",9,"OR4N2"
"OR52N2",9,"OR52N2"
"OR56A4",9,"OR56A4"
"OR5B2",9,"OR5B2"
"OR5I1",9,"OR5I1"
"OR8J1",9,"OR8J1"
"OSBPL1A",9,"OSBPL1A"
"PALB2",9,"PALB2"
"PALLD",9,"PALLD"
"PARK2",9,"PARK2"
"PARP14",9,"PARP14"
"PCDHA12",9,"PCDHA12"
"PCDHGA8",9,"PCDHGA8"
"PCK1",9,"PCK1"
"PDZD2",9,"PDZD2"
"PEX5L",9,"PEX5L"
"PHEX",9,"PHEX"
"PHF14",9,"PHF14"
"PHF3",9,"PHF3"
"PLD1",9,"PLD1"
"PLXNA2",9,"PLXNA2"
"PLXND1",9,"PLXND1"
"PNPLA6",9,"PNPLA6"
"POLR3A",9,"POLR3A"
"POP1",9,"POP1"
"POTEB3",9,"POTEB3"
"PPP1R16B",9,"PPP1R16B"
"PPRC1",9,"PPRC1"
"PRAMEF15",9,"PRAMEF15"
"PRAMEF4",9,"PRAMEF4"
"PREPL",9,"PREPL"
"PRLR",9,"PRLR"
"PRSS55",9,"PRSS55"
"PSG11",9,"PSG11"
"PSG8",9,"PSG8"
"PTGS2",9,"PTGS2"
"PTK2B",9,"PTK2B"
"PTK7",9,"PTK7"
"PTPN13",9,"PTPN13"
"PTPN14",9,"PTPN14"
"PTPRH",9,"PTPRH"
"RAB11FIP1",9,"RAB11FIP1"
"RAG1",9,"RAG1"
"RAPGEF2",9,"RAPGEF2"
"RBFOX1",9,"RBFOX1"
"REG3G",9,"REG3G"
"RHBDF2",9,"RHBDF2"
"RNF17",9,"RNF17"
"ROBO4",9,"ROBO4"
"RPAP1",9,"RPAP1"
"RPE65",9,"RPE65"
"RPS6KC1",9,"RPS6KC1"
"RSBN1",9,"RSBN1"
"SCN11A",9,"SCN11A"
"SDCCAG8",9,"SDCCAG8"
"SELE",9,"SELE"
"SEMA5B",9,"SEMA5B"
"SERPINA4",9,"SERPINA4"
"SETX",9,"SETX"
"SF3B1",9,"SF3B1"
"SH3D19",9,"SH3D19"
"SH3TC2",9,"SH3TC2"
